stop_id,stop_lat,stop_lon,stop_name
1153,42.325007,-71.097421,Centre St @ Columbus Ave
11531,42.323074,-71.099546,Jackson Square
1154,42.325365999999995,-71.09957899999999,Heath St @ Bromley St
11545,42.325809,-71.14047599999999,Lee St @ Boylston St
1155,42.32295,-71.10227499999999,Centre St @ Bickford St
1156,42.322676,-71.105716,Centre St @ Sunnyside St
1158,42.322368,-71.108661,Centre St @ Creighton St
11587,42.305236,-71.094725,Circuit Dr @ Glen Ln
1159,42.321093,-71.11054399999999,Centre St @ Barbara St
11592,42.333862,-71.08717299999999,Ruggles St @ Cabot St
11593,42.333186,-71.086016,Ruggles St opp Kerr Way
11599,42.352554,-71.04688999999999,Seaport Blvd @ Fan Pier Blvd
1160,42.319449,-71.111798,S Huntington Ave @ Moraine St
1161,42.317017,-71.11346,Centre St @ Lochstead Ave
11613,42.267432,-71.14998899999999,W Boundary Rd @ Washington St
11618,42.25564,-71.143709,Georgetowne Dr @ Georgetowne Pl
1164,42.313306,-71.11416,Centre St @ Myrtle St
1165,42.316446,-71.097563,Washington St @ Walnut Pk
1166,42.317578999999995,-71.09644899999999,Washington St @ Cobden St
1167,42.318898999999995,-71.095139,Washington St opp Dimock St
1168,42.319958,-71.094067,Washington St @ Townsend St
11689,42.485919,-71.211728,Burlington Mall Rd opp NE Executive Pk
1169,42.320829,-71.092974,Washington St @ Brinton St
11694,42.484199,-71.19492,S Bedford St @ Wayside Rd
117,42.361847,-71.057724,Congress St @ Haymarket Sta
1170,42.321749,-71.091752,Washington St @ ML King Blvd
11712,42.284143,-71.091674,Blue Hill Ave @ Morton St
11719,42.270168,-71.093907,Blue Hill Ave opp Babson St
1172,42.323568,-71.08928,Washington St @ Dale St
1173,42.32427,-71.08864299999999,Washington St opp Cedar St
11735,42.290104,-71.082689,Ames St @ Franklin Field
11736,42.290612,-71.086389,Ames St @ Westview St
1174,42.325827,-71.087772,Washington St @ Circuit St
1175,42.327276,-71.087149,Washington St @ St James St
11767,42.358163999999995,-71.109771,Pearl St @ Putnam Ave
11771,42.36023,-71.094815,Vassar St @ Massachusetts Ave
11772,42.358124,-71.099004,Vassar St @ Pacific St Extension
1178,42.327638,-71.087124,Washington St @ Bartlett St
11780,42.337969,-71.102457,Ave Louis Pasteur @ Longwood Ave
11781,42.340233,-71.100839,Ave Louis Pasteur @ The Fenway
1179,42.326035,-71.087812,Washington St @ Guild St
11792,42.332146,-71.07929299999999,Harrison Ave @ Melnea Cass Blvd
11799,42.340274,-71.100979,Ave Louis Pasteur @ The Fenway
118,42.366283,-71.059491,Causeway St @ Medford St
1180,42.324307,-71.088773,Washington St @ Cedar St
11802,42.338473,-71.102334,Ave Louis Pasteur @ Longwood Ave
11803,42.338207,-71.105846,Longwood Ave @ Binney St
11809,42.348845999999995,-71.108581,Mountfort St @ Carlton St
1181,42.323274999999995,-71.08990299999999,Washington St @ Oakland St
11812,42.277964,-71.161546,Spring St @ Spring St Apartments
1182,42.321772,-71.091899,Washington St @ Valentine St
1183,42.320851,-71.093122,Washington St @ Marcella St
11835,42.332315,-71.146793,Chestnut Hill Ave opp Buckminster Rd
11836,42.304466999999995,-71.150105,145 Grove St opp Bellingham Rd
11837,42.302637999999995,-71.152249,Grove St @ South St
11839,42.300090999999995,-71.16980099999999,Corey St @ LaGrange St
1184,42.320155,-71.094006,Washington St opp Townsend St
11845,42.329972,-71.146011,Chestnut Hill Ave @ Ackers Ave
1185,42.31874,-71.095478,Washington St @ Dimock St
11853,42.277023,-71.237377,Chestnut St opp Oak St
1186,42.317181999999995,-71.09704599999999,Washington St @ Bray St
11860,42.287071999999995,-71.13181999999999,Robert St @ Belgrade Ave
11868,42.289151,-71.133832,5 Walter St opp Hewlett St
1187,42.315596,-71.098606,Washington St @ Atherton St
1188,42.315207,-71.097652,Columbus Ave opp Weld Ave
11891,42.357495,-71.056251,Pearl St @ Congress St
1190,42.358889999999995,-71.123853,Cambridge St @ Seattle St
1191,42.357458,-71.128045,Cambridge St @ Lincoln St
11917,42.332414,-71.14671899999999,Chestnut Hill Ave @ Buckminster Rd
1193,42.355551,-71.132875,Cambridge St @ Franklin St
11939,42.309650999999995,-71.115764,Centre St @ Eliot St
1195,42.354278,-71.135846,Cambridge St @ Emery Rd
1196,42.353748,-71.138128,N Beacon St @ Cambridge St
1197,42.35436,-71.141738,N Beacon St opp Saunders St
11971,42.356306,-71.14146099999999,Arthur St @ Guest St - Stop & Shop
11972,42.357109,-71.145623,Guest St @ Life St
120,42.277603,-71.18137999999999,Rivermoor St @ Industrial Park
1201,42.356564,-71.150426,239 N Beacon St
1202,42.357187,-71.152796,N Beacon St @ Vineland St
1203,42.357994,-71.154394,N Beacon St @ Birmingham Pkwy
1204,42.358663,-71.157969,Birmingham Pkwy @ Soldiers Field Rd
1206,42.355467,-71.162645,Brooks St @ Gerrish St
12080,42.378811,-71.146422,Huron Ave @ Larchwood Dr
121,42.320511,-71.05178,JFK/UMass
121008,42.235159,-71.111037,Curry College
121009,42.226417,-71.11643099999999,Blue Hill Ave from Curry Coll to Canton Ave (FLAG)
121010,42.218345,-71.11952,Opp 1904 Canton Ave @ Trailside Museum
121011,42.207287,-71.13472,Royall St @ Compushare Driveway
121012,42.207967,-71.131106,Royall St @ Beacon Lane
121013,42.208061,-71.129262,Royall St @ Dunkin Brands Driveway
121014,42.207885999999995,-71.12405199999999,Royall St @ JW Foster Blvd
121017,42.218305,-71.11925099999999,1904 Canton Ave @ Trailside Museum
121019,42.234934,-71.110934,Blue Hill Ave opp Curry College
1211,42.352417,-71.163341,Faneuil St @ Brooks St
1213,42.351254,-71.167478,Faneuil St @ Bigelow St
1214,42.351196,-71.167349,Faneuil St @ Oak Square
12144,42.378896,-71.148062,Huron Ave opp Park Ave
12145,42.380717999999995,-71.153669,Fresh Pond Golf Course
12147,42.381181,-71.15467,700 Huron Ave
1215,42.317077999999995,-71.098224,Columbus Ave @ Bray St
